,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-02-27,1.0263837920091425,1.0,0.9157435540023499,1.0,1.0,1.0
2018-02-28,1.0250664436554224,1.0,0.9163545572975792,1.0,1.0,1.0
2018-03-01,1.0457111836859831,1.0,0.9295277593226651,1.0,1.0,1.0
2018-03-02,1.0486729199342157,1.0,0.9251228845421938,1.0,1.0,1.0
2018-03-05,1.0595956917336928,1.0,0.9312310560840306,1.0,1.0,1.0
2018-03-06,1.0738895260787917,1.0,0.9417177935841601,1.0,1.0,1.0
2018-03-07,1.0702203217112014,1.0,0.9367888234209418,1.0,1.0,1.0
2018-03-08,1.0853735826316329,1.0,0.9458667669980404,1.0,1.0,1.0
2018-03-09,1.107716968281779,1.0,0.9605706004898109,1.0,1.0,1.0
2018-03-12,1.130723108929845,1.0,0.9740937570477279,1.0,1.0,1.0
2018-03-13,1.1271291907195786,1.0,0.969253271602767,1.0,1.0,1.0
2018-03-14,1.125069935842451,1.0,0.9597586033975323,1.0,1.0,1.0
2018-03-15,1.1201233986293941,1.0,0.9520530383559976,1.0,1.0,1.0
2018-03-16,1.1304132368580475,1.0,0.9516571956137013,1.0,1.0,1.0
2018-03-19,1.1424255146498694,1.0,0.9555266050015386,1.0,1.0,1.0
2018-03-20,1.15330859404219,1.0,0.9591191206687878,1.0,1.0,1.0
2018-03-21,1.1558432683938415,1.0,0.9541607530739589,1.0,1.0,1.0
2018-03-22,1.1686611911237372,1.0,0.955865389397267,1.0,1.0,1.0
2018-03-23,1.1137529741244567,1.0,0.9049781651196493,1.0,1.0,1.0
2018-03-26,1.1354816546338313,1.0,0.9173700359775413,1.0,1.0,1.0
2018-03-27,1.167468821691526,1.0,0.9407972163643469,1.0,1.0,1.0
2018-03-28,1.163183566995189,1.0,0.9363948787614347,1.0,1.0,1.0
2018-03-29,1.178590039084001,1.0,0.9456096952062897,1.0,1.0,1.0
2018-03-30,1.1995034473244541,1.0,0.9596040268080432,1.0,1.0,1.0
2018-04-02,1.2068782547283476,1.0,0.963817312275557,1.0,1.0,1.0
2018-04-03,1.2159477485722645,1.0,0.9559195348218812,1.0,1.0,1.0
2018-04-04,1.2288933947364655,1.0,0.9516100480096047,1.0,1.0,1.0
2018-04-09,1.2348067422455966,1.0,0.9552287435367102,1.0,1.0,1.0
2018-04-10,1.2446257055628427,1.0,0.9571475388976869,1.0,1.0,1.0
2018-04-11,1.254288605389547,1.0,0.964495231380949,1.0,1.0,1.0
2018-04-12,1.2493983241608613,1.0,0.9596236404444468,1.0,1.0,1.0
2018-04-13,1.2511315398165894,1.0,0.9566034191328008,1.0,1.0,1.0
2018-04-16,1.2446919852691836,1.0,0.9499699733436322,1.0,1.0,1.0
2018-04-17,1.2257320041700337,1.0,0.9291801508669423,1.0,1.0,1.0
2018-04-18,1.2448083578856861,1.0,0.939204753410648,1.0,1.0,1.0
2018-04-19,1.2466601477319508,1.0,0.9420758815234795,1.0,1.0,1.0
2018-04-20,1.2135512033569038,1.0,0.9201112796170313,1.0,1.0,1.0
2018-04-23,1.209268007057188,1.0,0.9138616513756732,1.0,1.0,1.0
2018-04-24,1.2360518654480919,1.0,0.934746129154489,1.0,1.0,1.0
2018-04-25,1.2400061270761051,1.0,0.9392205178377552,1.0,1.0,1.0
2018-04-26,1.2206571884509196,1.0,0.920595291550982,1.0,1.0,1.0
2018-04-27,1.2239670096648072,1.0,0.9216316803344899,1.0,1.0,1.0
2018-05-02,1.2187723348403763,1.0,0.9166991123690368,1.0,1.0,1.0
2018-05-03,1.2313559026139538,1.0,0.9266473643293804,1.0,1.0,1.0
2018-05-04,1.2263820843932123,1.0,0.9250895168106098,1.0,1.0,1.0
2018-05-07,1.2520000068564687,1.0,0.9414700183016017,1.0,1.0,1.0
2018-05-08,1.2725359306456996,1.0,0.9485907970209339,1.0,1.0,1.0
2018-05-09,1.282849236425013,1.0,0.9497894568855698,1.0,1.0,1.0
2018-05-10,1.291195418249417,1.0,0.9553090954326542,1.0,1.0,1.0
2018-05-11,1.2852076561957584,1.0,0.9445290285181975,1.0,1.0,1.0
2018-05-14,1.2809747192779566,1.0,0.9386328317432581,1.0,1.0,1.0
2018-05-15,1.2994983239621245,1.0,0.9493517863185039,1.0,1.0,1.0
2018-05-16,1.303790631364105,1.0,0.945052157194486,1.0,1.0,1.0
2018-05-17,1.3028176168355472,1.0,0.9436270994216673,1.0,1.0,1.0
2018-05-18,1.3160930403598388,1.0,0.9482817622039823,1.0,1.0,1.0
2018-05-21,1.3398195535053994,1.0,0.9607522536093056,1.0,1.0,1.0
2018-05-22,1.3554633225001522,1.0,0.966260023483354,1.0,1.0,1.0
2018-05-23,1.3441499786848892,1.0,0.956340638403231,1.0,1.0,1.0
2018-05-24,1.3492500610092768,1.0,0.9549477784129667,1.0,1.0,1.0
2018-05-25,1.3346868742570206,1.0,0.9481901486240285,1.0,1.0,1.0
2018-05-28,1.3259266356596398,1.0,0.9396671499747373,1.0,1.0,1.0
2018-05-29,1.3178228493016937,1.0,0.9318855342399409,1.0,1.0,1.0
2018-05-30,1.2749358860585893,1.0,0.896399060568834,1.0,1.0,1.0
2018-05-31,1.30143996975087,1.0,0.9116773700498799,1.0,1.0,1.0
2018-06-01,1.294207818165683,1.0,0.9028310535082876,1.0,1.0,1.0
2018-06-04,1.2909472934178783,1.0,0.9006115675444605,1.0,1.0,1.0
2018-06-05,1.31640568715314,1.0,0.914818607058417,1.0,1.0,1.0
2018-06-06,1.3260442231036698,1.0,0.9171667934448895,1.0,1.0,1.0
2018-06-07,1.3209363218045953,1.0,0.9094265910085623,1.0,1.0,1.0
2018-06-08,1.3115043060121672,1.0,0.8998299957607727,1.0,1.0,1.0
2018-06-11,1.3078154587703474,1.0,0.8935699449087205,1.0,1.0,1.0
2018-06-12,1.3208397511432322,1.0,0.8998292670161036,1.0,1.0,1.0
2018-06-13,1.3030873674014367,1.0,0.8839306014170962,1.0,1.0,1.0
2018-06-14,1.2964215318449654,1.0,0.8808253671810123,1.0,1.0,1.0
2018-06-15,1.2666326439930526,1.0,0.860182714201549,1.0,1.0,1.0
2018-06-19,1.1854290061341786,1.0,0.8004937270042188,1.0,1.0,1.0
2018-06-20,1.19719780210089,1.0,0.8090846465501033,1.0,1.0,1.0
2018-06-21,1.1613578655942483,1.0,0.7881315860344733,1.0,1.0,1.0
2018-06-22,1.1816738121193695,1.0,0.7997826160862729,1.0,1.0,1.0
2018-06-25,1.177599286918911,1.0,0.7980930290308094,1.0,1.0,1.0
2018-06-26,1.189458946781339,1.0,0.8068162188677173,1.0,1.0,1.0
2018-06-27,1.1850006106572237,1.0,0.8030850735047094,1.0,1.0,1.0
2018-06-28,1.172658008112595,1.0,0.7948240464608874,1.0,1.0,1.0
2018-06-29,1.2042750329184024,1.0,0.817651534275386,1.0,1.0,1.0
2018-07-02,1.1890762730522662,1.0,0.8071242640205774,1.0,1.0,1.0
2018-07-03,1.2082579250751704,1.0,0.8190137658326393,1.0,1.0,1.0
2018-07-04,1.189840203396635,1.0,0.8036688879695986,1.0,1.0,1.0
2018-07-05,1.1613596783566176,1.0,0.7825033051252803,1.0,1.0,1.0
2018-07-06,1.1662053401240313,1.0,0.7859010085163356,1.0,1.0,1.0
2018-07-09,1.1915396660241868,1.0,0.8026794394626134,1.0,1.0,1.0
2018-07-10,1.2013204094432492,1.0,0.8099549414663239,1.0,1.0,1.0
2018-07-11,1.1737619593345925,1.0,0.7906102174520375,1.0,1.0,1.0
2018-07-12,1.205190725155504,1.0,0.8110161129145237,1.0,1.0,1.0
2018-07-13,1.211202640749751,1.0,0.8129545764236101,1.0,1.0,1.0
2018-07-16,1.2133891309470957,1.0,0.8126552006341928,1.0,1.0,1.0
2018-07-17,1.2208353527330609,1.0,0.8147592067524039,1.0,1.0,1.0
2018-07-18,1.2221448281314045,1.0,0.8110102957036289,1.0,1.0,1.0
2018-07-19,1.209824654268932,1.0,0.8016559983544671,1.0,1.0,1.0
2018-07-20,1.2278236379477758,1.0,0.8106302610409365,1.0,1.0,1.0
2018-07-23,1.234877162358339,1.0,0.8165579203949028,1.0,1.0,1.0
2018-07-24,1.2566667637029532,1.0,0.8305938902596444,1.0,1.0,1.0
2018-07-25,1.264233164421618,1.0,0.8316418882235577,1.0,1.0,1.0
2018-07-26,1.2670073103960469,1.0,0.8304107679000778,1.0,1.0,1.0
2018-07-27,1.2636693374032315,1.0,0.8256721667455524,1.0,1.0,1.0
2018-07-30,1.243841786871836,1.0,0.8135519578218122,1.0,1.0,1.0
2018-07-31,1.2478503175880884,1.0,0.8146619380726771,1.0,1.0,1.0
2018-08-01,1.2306905106068984,1.0,0.8016606968777635,1.0,1.0,1.0
2018-08-02,1.2033808747130659,1.0,0.7802555064204323,1.0,1.0,1.0
2018-08-03,1.191366476838425,1.0,0.7713795899789855,1.0,1.0,1.0
2018-08-06,1.172164128646316,1.0,0.7561158588260557,1.0,1.0,1.0
2018-08-07,1.206208285998094,1.0,0.7753110646296238,1.0,1.0,1.0
2018-08-08,1.1899061717002155,1.0,0.7636057494451188,1.0,1.0,1.0
2018-08-09,1.2174653566638127,1.0,0.7798422062022546,1.0,1.0,1.0
2018-08-10,1.2294703198434074,1.0,0.7844566254568691,1.0,1.0,1.0
2018-08-13,1.2378326053631319,1.0,0.7865578047445194,1.0,1.0,1.0
2018-08-14,1.2437930388860226,1.0,0.7861771326606625,1.0,1.0,1.0
2018-08-15,1.2274642297481229,1.0,0.770714959132331,1.0,1.0,1.0
2018-08-16,1.2201709466357433,1.0,0.7626340413682999,1.0,1.0,1.0
2018-08-17,1.1996406159030943,1.0,0.7489320990768588,1.0,1.0,1.0
2018-08-20,1.2050621814896325,1.0,0.7529483197865324,1.0,1.0,1.0
2018-08-21,1.221681707127438,1.0,0.7605498356193877,1.0,1.0,1.0
2018-08-22,1.2122774557674896,1.0,0.7514453934966089,1.0,1.0,1.0
2018-08-23,1.218703607334603,1.0,0.7563991715900811,1.0,1.0,1.0
2018-08-24,1.217549793211893,1.0,0.7542690207246352,1.0,1.0,1.0
