,word,count,value
212,总,22791,0
213,50,22710,0
214,影响,22666,0
215,收盘,22625,0
216,持仓,22479,1
217,活跃,22410,1
218,一下,22406,0
219,跑,22320,-1
220,近,22318,0
221,服务,22136,0
222,资本,22080,0
223,报告,21989,0
224,家,21845,0
225,如下,21745,0
226,预计,21729,0
227,龙头,21547,0
