,Q_1,Q_2,Q_3,Q_4,Q_5,Q_LS
2018-03-21,0.826644195277467,1.0,0.9620510714279878,1.0,1.0,1.0
2018-03-22,0.8255950904628636,1.0,0.9641920768997164,1.0,1.0,1.0
2018-03-23,0.7846252205295938,1.0,0.9129511690321787,1.0,1.0,1.0
2018-03-26,0.7950359712291145,1.0,0.9260800061347784,1.0,1.0,1.0
2018-03-27,0.8188884224441964,1.0,0.9497022840808833,1.0,1.0,1.0
2018-03-28,0.8086120816310067,1.0,0.9454533944971387,1.0,1.0,1.0
2018-03-29,0.8204641693119733,1.0,0.9548068104352054,1.0,1.0,1.0
2018-03-30,0.8350998901450402,1.0,0.9689717431538994,1.0,1.0,1.0
2018-04-02,0.8327084470273962,1.0,0.9736022928007064,1.0,1.0,1.0
2018-04-03,0.8237552324216334,1.0,0.966276692315851,1.0,1.0,1.0
2018-04-04,0.8191652447307163,1.0,0.9624207954849731,1.0,1.0,1.0
2018-04-09,0.8198969891319913,1.0,0.9663056863802084,1.0,1.0,1.0
2018-04-10,0.8187594973575847,1.0,0.9685732603515466,1.0,1.0,1.0
2018-04-11,0.8273229170569907,1.0,0.9759644585185945,1.0,1.0,1.0
2018-04-12,0.8226828890118723,1.0,0.9711037069352344,1.0,1.0,1.0
2018-04-13,0.8218835764108556,1.0,0.9682052984747737,1.0,1.0,1.0
2018-04-16,0.8133910025026604,1.0,0.9617828373359651,1.0,1.0,1.0
2018-04-17,0.7940679598288828,1.0,0.9410493827772113,1.0,1.0,1.0
2018-04-18,0.7979804633363707,1.0,0.9515513877731515,1.0,1.0,1.0
2018-04-19,0.800281151501772,1.0,0.9543927442475978,1.0,1.0,1.0
2018-04-20,0.775552631880609,1.0,0.9321815290528536,1.0,1.0,1.0
2018-04-23,0.7620256317055534,1.0,0.9264521063691068,1.0,1.0,1.0
2018-04-24,0.7756227828050355,1.0,0.9477386392301467,1.0,1.0,1.0
2018-04-25,0.7774117698258695,1.0,0.952283121964579,1.0,1.0,1.0
2018-04-26,0.7610171113174635,1.0,0.9335714869906603,1.0,1.0,1.0
2018-04-27,0.7557622411874515,1.0,0.934868861658138,1.0,1.0,1.0
2018-05-02,0.7492107176520106,1.0,0.9301245912266357,1.0,1.0,1.0
2018-05-03,0.7521539798722626,1.0,0.9403883245188954,1.0,1.0,1.0
2018-05-04,0.7485373597947321,1.0,0.9388047433145336,1.0,1.0,1.0
2018-05-07,0.7557441021617605,1.0,0.9558543079601132,1.0,1.0,1.0
2018-05-08,0.7579357364410264,1.0,0.9634245199465616,1.0,1.0,1.0
2018-05-09,0.7559607984512967,1.0,0.9648933265549929,1.0,1.0,1.0
2018-05-10,0.7585214508953637,1.0,0.9705784921296623,1.0,1.0,1.0
2018-05-11,0.749609908821064,1.0,0.959838848237209,1.0,1.0,1.0
2018-05-14,0.7405914655852968,1.0,0.9541907064741406,1.0,1.0,1.0
2018-05-15,0.7488181192040628,1.0,0.9651842604084384,1.0,1.0,1.0
