,market_forward_return
20170823,-0.004925
20170824,0.018343
20170825,0.009344
20170828,0.000766
20170829,-0.000475
20170830,-0.000837
20170831,0.001877
20170901,0.003702
20170904,0.001401
20170905,0.000317
20170906,-0.005876
20170907,-7.60E-05
20170908,0.003321
20170911,0.000909
20170912,0.001379
20170913,-0.003759
20170914,-0.005282
20170915,0.002755
20170918,-0.001788
20170919,0.002726
20170920,-0.002431
20170921,-0.001573
20170922,-0.003275
20170925,0.000609
20170926,0.000505
20170927,-0.001683
20170928,0.002785
20170929,0.007595
20171009,0.002552
20171010,0.001565
20171011,-0.000645
20171012,0.001306
20171013,-0.003555
20171016,-0.001903
20171017,0.002892
20171018,-0.003437
20171019,0.002515
20171020,0.000607
20171023,0.002233
20171024,0.002553
20171025,0.003141
20171026,0.002713
20171027,-0.007749
20171030,0.000886
20171031,0.000758
20171101,-0.003711
20171102,-0.003418
20171103,0.004873
20171106,0.007497
20171107,0.000552
20171108,0.003611
20171109,0.001423
20171110,0.004417
20171113,-0.005304
20171114,-0.00788
20171115,-0.000962
20171116,-0.004808
20171117,0.002806
20171120,0.005335
20171121,0.005854
20171122,-0.022897
20171123,0.000568
20171124,-0.009419
20171127,0.00344
20171128,0.001261
20171129,-0.006194
20171130,0.000129
20171201,-0.002411
20171204,-0.001796
20171205,-0.002939
20171206,-0.006652
20171207,0.005482
20171208,0.009788
20171211,-0.012456
20171212,0.006774
20171213,-0.003209
20171214,-0.007988
20171215,0.000547
20171218,0.008757
20171219,-0.00271
20171220,0.003788
20171221,-0.000908
20171222,-0.005035
20171225,0.007823
20171226,-0.009177
20171227,0.006289
20171228,0.003272
20171229,0.012444
20180102,0.006207
20180103,0.004928
20180104,0.001784
20180105,0.005227
20180108,0.001296
20180109,0.002324
20180110,0.001026
20180111,0.00105
20180112,-0.005381
20180115,0.007655
20180116,0.00235
20180117,0.008733
20180118,0.003773
20180119,0.00387
20180122,0.012893
20180123,0.003654
20180124,-0.003135
20180125,0.002768
20180126,-0.009873
20180129,-0.009932
20180130,-0.002057
20180131,-0.009726
20180201,0.004381
20180202,0.007341
20180205,-0.033504
20180206,-0.018214
20180207,-0.014266
20180208,-0.040527
20180209,0.007756
20180212,0.009776
20180213,0.004459
20180214,0.021693
20180222,0.006261
20180223,0.012329
20180226,-0.011264
20180227,-0.009921
20180228,0.004402
20180301,-0.005873
20180302,0.000737
20180305,0.010045
20180306,-0.005464
20180307,0.005116
20180308,0.005705
20180309,0.005906
20180312,-0.004948
20180313,-0.005697
20180314,-8.20E-05
20180315,-0.006451
20180316,0.002865
20180319,0.003473
